"Date";"Moy";"Actif"
"1985-01-01";171,815002441406;"S&P500"
"1985-02-01";180,849998474121;"S&P500"
"1985-03-01";180,209999084473;"S&P500"
"1985-04-01";180,735000610352;"S&P500"
"1985-05-01";184,165000915527;"S&P500"
"1985-06-01";188,440002441406;"S&P500"
"1985-07-01";192,685005187988;"S&P500"
"1985-08-01";189,13500213623;"S&P500"
"1985-09-01";184,125;"S&P500"
"1985-10-01";185,654998779297;"S&P500"
"1985-11-01";196,384994506836;"S&P500"
"1985-12-01";206,590003967285;"S&P500"
"1986-01-01";208,585006713867;"S&P500"
"1986-02-01";219,370002746582;"S&P500"
"1986-03-01";231,144996643066;"S&P500"
"1986-04-01";235,88500213623;"S&P500"
"1986-05-01";240,724998474121;"S&P500"
"1986-06-01";245,019996643066;"S&P500"
"1986-07-01";243,13500213623;"S&P500"
"1986-08-01";243,080001831055;"S&P500"
"1986-09-01";241,105003356934;"S&P500"
"1986-10-01";237,915000915527;"S&P500"
"1986-11-01";242,36499786377;"S&P500"
"1986-12-01";248,074996948242;"S&P500"
"1987-01-01";261,564994812012;"S&P500"
"1987-02-01";280,354995727539;"S&P500"
"1987-03-01";292,509994506836;"S&P500"
"1987-04-01";289,660003662109;"S&P500"
"1987-05-01";287,850006103516;"S&P500"
"1987-06-01";298,599990844727;"S&P500"
"1987-07-01";310,690002441406;"S&P500"
"1987-08-01";326,200012207031;"S&P500"
"1987-09-01";320,369995117188;"S&P500"
"1987-10-01";272,700004577637;"S&P500"
"1987-11-01";241,479995727539;"S&P500"
"1987-12-01";237,29500579834;"S&P500"
"1988-01-01";250,974998474121;"S&P500"
"1988-02-01";257,820007324219;"S&P500"
"1988-03-01";264,355010986328;"S&P500"
"1988-04-01";263,379997253418;"S&P500"
"1988-05-01";256,275009155273;"S&P500"
"1988-06-01";269,490005493164;"S&P500"
"1988-07-01";269,419998168945;"S&P500"
"1988-08-01";265,365005493164;"S&P500"
"1988-09-01";265,925003051758;"S&P500"
"1988-10-01";276,395004272461;"S&P500"
"1988-11-01";271,610000610352;"S&P500"
"1988-12-01";275,460006713867;"S&P500"
"1989-01-01";285,660003662109;"S&P500"
"1989-02-01";293,415008544922;"S&P500"
"1989-03-01";293,224990844727;"S&P500"
"1989-04-01";302,400009155273;"S&P500"
"1989-05-01";313,559997558594;"S&P500"
"1989-06-01";321,785003662109;"S&P500"
"1989-07-01";331,669998168945;"S&P500"
"1989-08-01";345,865005493164;"S&P500"
"1989-09-01";347,75;"S&P500"
"1989-10-01";343,779998779297;"S&P500"
"1989-11-01";338,705001831055;"S&P500"
"1989-12-01";346,865005493164;"S&P500"
"1990-01-01";340,209991455078;"S&P500"
"1990-02-01";329,095001220703;"S&P500"
"1990-03-01";337,78498840332;"S&P500"
"1990-04-01";337,529998779297;"S&P500"
"1990-05-01";346,529998779297;"S&P500"
"1990-06-01";360,005004882812;"S&P500"
"1990-07-01";359,934997558594;"S&P500"
"1990-08-01";331,764999389648;"S&P500"
"1990-09-01";311,255004882812;"S&P500"
"1990-10-01";307,100006103516;"S&P500"
"1990-11-01";312,314987182617;"S&P500"
"1990-12-01";327,975006103516;"S&P500"
"1991-01-01";326,639999389648;"S&P500"
"1991-02-01";355,664993286133;"S&P500"
"1991-03-01";371,695007324219;"S&P500"
"1991-04-01";380,764999389648;"S&P500"
"1991-05-01";377,839996337891;"S&P500"
"1991-06-01";378,895004272461;"S&P500"
"1991-07-01";379,365005493164;"S&P500"
"1991-08-01";385,455001831055;"S&P500"
"1991-09-01";390,19499206543;"S&P500"
"1991-10-01";384,959991455078;"S&P500"
"1991-11-01";384,925003051758;"S&P500"
"1991-12-01";394,839996337891;"S&P500"
"1992-01-01";414,910003662109;"S&P500"
"1992-02-01";412,209991455078;"S&P500"
"1992-03-01";407,860000610352;"S&P500"
"1992-04-01";404,345001220703;"S&P500"
"1992-05-01";414,300003051758;"S&P500"
"1992-06-01";408,610000610352;"S&P500"
"1992-07-01";416;"S&P500"
"1992-08-01";416,720001220703;"S&P500"
"1992-09-01";418,989990234375;"S&P500"
"1992-10-01";408,979995727539;"S&P500"
"1992-11-01";423,754989624023;"S&P500"
"1992-12-01";435,629989624023;"S&P500"
"1993-01-01";434,770004272461;"S&P500"
"1993-02-01";439,145004272461;"S&P500"
"1993-03-01";448,915008544922;"S&P500"
"1993-04-01";442,464996337891;"S&P500"
"1993-05-01";445,704986572266;"S&P500"
"1993-06-01";449,065002441406;"S&P500"
"1993-07-01";446,274993896484;"S&P500"
"1993-08-01";455,25;"S&P500"
"1993-09-01";456,720001220703;"S&P500"
"1993-10-01";463,75;"S&P500"
"1993-11-01";461,734985351562;"S&P500"
"1993-12-01";466,370010375977;"S&P500"
"1994-01-01";473,604995727539;"S&P500"
"1994-02-01";473,245010375977;"S&P500"
"1994-03-01";453,625;"S&P500"
"1994-04-01";444,324996948242;"S&P500"
"1994-05-01";449,274993896484;"S&P500"
"1994-06-01";451,529998779297;"S&P500"
"1994-07-01";451,454986572266;"S&P500"
